timestamp_ms,hash,chain_id,from,to,value,nonce,gas,gas_price,gas_tip_cap,gas_fee_cap,data_size,data_4bytes,sources,included_at_block_height,included_block_timestamp_ms,inclusion_delay_ms,tx_type
1759604796643,0xe8bc47905f79f1b6f9dc418fb5a573384734cdbd9242d9b09cef533337cf61de,1,0x1367a850998ccdcfd518dc9f64a60f9353c5474c,0xca50ac225dfa4ad28ced2308b6e587271c8aec16,2449686981000,252344,21000,116651761,0,116651761,0,,alchemy_ws,0,0,0,0x0
1759604796643,0x579a24974a5fc8456616616f9e4784965978ffe8d72cb5debd5964b886b5536a,1,0xc5abd46dcb3b3e8e8427ee7c8ab2c63a47ba2df5,0x0b0f7ebf967146566799229394171fc47f1a765a,513512854626000,3,21000,115878192,1,144468922,0,,alchemy_ws,0,0,0,0x2
1759604796643,0x81550ee7bb73b6f93eacdbbb768b2b83310fd34aa8a0729c572a31784481e366,1,0x5e593964e1bdc6578ad460f123d71b095c71a212,0x007c3205dc25cc5b4e647b726a6ff29da8e1a1c0,39219000000000000,4,21000,2000000000,0,2000000000,0,,alchemy_ws,0,0,0,0x0
1759604796643,0x4191f267bb12c01412c885c4c96d125427099260a972d1575653a813d652adcf,1,0x3e0954d9b32f823aff2f66173ffed5f453dedd93,0xb8506d42ad5fd6a672b42aec94b82846876d458e,0,8534,828062,126924608,0,126924608,1444,0x452e3a4f,alchemy_ws,0,0,0,0x0
1759604796643,0x1de28446f4b7d6e27968ddf61b67a544741990b8d2d77aa69a78d7671fba661b,1,0x3362980bb75640f3fa299be630049ed475f3595a,0xbd50d18b7d2db08d9f19dd760b7af6ee0ef5973f,2449686981000,65964,21000,116651761,0,116651761,0,,alchemy_ws,0,0,0,0x0
1759604796643,0xe6b1cf0893a31e608b3852b20b42054becf4cb95cd7f3914a1e7ad96673a1027,1,0xe93685f3bba03016f02bd1828badd6195988d950,0x173272739bd7aa6e4e214714048a9fe699453059,0,2685227,504986,170712607,54834416,193888245,452,0xcfc32570,alchemy_ws,0,0,0,0x2
1759604796643,0x3e7e1fe7469138bc1e7b623e1e071456121bac22c418d62fdf1db5d1b0223a30,1,0x963737c550e70ffe4d59464542a28604edb2ef9a,0x639a7bb81ff355c4771111370d7809e30c9d0b83,205691420000000000,1225593,21000,204878191,89000000,1000000000,0,,alchemy_ws,0,0,0,0x2
1759604796643,0x4e0d3cba2d136a738b9671c925144fd23031ff4b908d933f783b4ddce025c9b3,1,0x844f24a94ae01576549fbc941e2ecdbee4642edd,0xdac17f958d2ee523a2206206994597c13d831ec7,0,67,84000,115183859,1,141737422,68,0xa9059cbb,alchemy_ws,0,0,0,0x2
1759604796643,0xa9d8c882c3ad6727c42a4d5f1eb37365a78db08c5bb0888f4d12a1863bcc40dc,1,0x405b5532fc5cb864028fcc4d4237e971821042c4,0xf98260e3a644797ec7e8d15ed5ee9e4b7f3bfa80,8830286654364333,2,21000,205718113,205718113,205718113,0,,alchemy_ws,0,0,0,0x2
1759604796643,0x8fdb7b9c7b5165111614bbd01b0c02cbfe25db6cb8f0842bd3929c4cb7f33bff,1,0xf411990ae161a642a189abb169580314d2e88cac,0x7bceb96a8757114d79c7dcd6b52c460202f17d13,0,1,21000,119335593,0,119335593,0,,alchemy_ws,0,0,0,0x0
1759604796643,0x9f5eea3bcfc89cf8036acd780dd064cc5eb493d6f099bb6bcb1fecef4dce30ce,1,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,0xc03f31fd86a9077785b7bcf6598ce3598fa91113,0,374755,220976,170712607,54834416,193888245,196,0x3161b7f6,alchemy_ws,0,0,0,0x2
1759604796643,0x6b538cba3081a8bc425601da662948c34129fe9fec8f805d79b409a95971c114,1,0xbfa6819e20779840303cde84ed8b8578a417d9de,0x0000000000001ff3684f28c67538d4d072c22734,17700000000000000,5,366422,194878191,79000000,290000000,1604,0x2213bc0b,alchemy_ws,0,0,0,0x2
1759604796643,0x2c262fbb3f0aa4d71f3bd8f7a7affc7327dcda14a5f89645df0d3f333feca1f5,1,0xb3382ec98b0c4453c6a81bd095d9696fc3c7ec46,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0,78192,1500000,1615878191,1500000000,1709732922,580,0x5ae401dc,alchemy_ws,0,0,0,0x2
1759604796643,0x2560c89c3a137e28d59c24e4dacf388873e9b9916678c61dead117abc81f3bbb,1,0x6911d34a39b06c091c3253221c6b5786f9e3f92a,0xe380a14f5339fd121367807b24891fdaf3bebd4d,2449686981000,213237,21000,116651761,0,116651761,0,,alchemy_ws,0,0,0,0x0
1759604796643,0x9866eef62df32b98ff0d961605ab6b2a330b68e9868e073af7ea2c19c78f9e42,1,0x67e2eedbb325dd8c1a569f6b1983c6ef257ffce2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,14,84000,115878192,1,144468922,68,0xa9059cbb,alchemy_ws,0,0,0,0x2
1759604796643,0x6dc6d124b6c2a8819db584c7d0d1a919dbc513a9811cf28779d933ee35385918,1,0xe8832a868c091263ed190a9f4be304a03895dd91,0x5656e4c5c1c8719ffea86f08fd3839a901245ba9,7000000000000000,471961,50000,3105066461,0,3105066461,0,,alchemy_ws,0,0,0,0x0
1759604796643,0xdf6ba4f58f0c876d8ee0a003cd99db96a7c86710404e93cfbbc0465bdb1d0074,1,0x9b47f2f00c7aed66a4adc8450dd4f1690104a635,0xdac17f958d2ee523a2206206994597c13d831ec7,0,31,60000,165448740,50264882,177730892,68,0xa9059cbb,alchemy_ws,0,0,0,0x2
